city,lat,lon,year,month,avg_rainfall
Gangtok,27.33,88.61,2010,7,10.173
Gangtok,27.33,88.61,2010,8,8.703
Gangtok,27.33,88.61,2010,9,6.419
Gangtok,27.33,88.61,2010,10,1.231
Gangtok,27.33,88.61,2010,11,0.343
Gangtok,27.33,88.61,2010,12,0.01
Gangtok,27.33,88.61,2011,1,0.097
Gangtok,27.33,88.61,2011,2,0.689
Gangtok,27.33,88.61,2011,3,0.248
Gangtok,27.33,88.61,2011,4,1.306
Gangtok,27.33,88.61,2011,5,2.365
Gangtok,27.33,88.61,2011,6,5.607
Gangtok,27.33,88.61,2011,7,10.075
Gangtok,27.33,88.61,2011,8,8.152
Gangtok,27.33,88.61,2011,9,5.634
Gangtok,27.33,88.61,2011,10,0.353
Gangtok,27.33,88.61,2011,11,0.213
Gangtok,27.33,88.61,2011,12,0.076
Gangtok,27.33,88.61,2012,1,0.215
Gangtok,27.33,88.61,2012,2,0.449
Gangtok,27.33,88.61,2012,3,0.28
Gangtok,27.33,88.61,2012,4,1.533
Gangtok,27.33,88.61,2012,5,2.187
Gangtok,27.33,88.61,2012,6,3.636
Gangtok,27.33,88.61,2012,7,8.485
Gangtok,27.33,88.61,2012,8,6.007
Gangtok,27.33,88.61,2012,9,5.529
Gangtok,27.33,88.61,2012,10,0.696
Gangtok,27.33,88.61,2012,11,0.001
Gangtok,27.33,88.61,2012,12,0.0
Gangtok,27.33,88.61,2013,1,0.105
Gangtok,27.33,88.61,2013,2,0.958
Gangtok,27.33,88.61,2013,3,0.532
Gangtok,27.33,88.61,2013,4,1.184
Gangtok,27.33,88.61,2013,5,4.681
Gangtok,27.33,88.61,2013,6,5.723
Gangtok,27.33,88.61,2013,7,7.637
Gangtok,27.33,88.61,2013,8,8.214
Gangtok,27.33,88.61,2013,9,3.464
Gangtok,27.33,88.61,2013,10,4.112
Gangtok,27.33,88.61,2013,11,0.002
Gangtok,27.33,88.61,2013,12,0.016
Gangtok,27.33,88.61,2014,1,0.007
Gangtok,27.33,88.61,2014,2,0.177
Gangtok,27.33,88.61,2014,3,0.45
Gangtok,27.33,88.61,2014,4,1.064
Gangtok,27.33,88.61,2014,5,5.2
Gangtok,27.33,88.61,2014,6,5.572
Gangtok,27.33,88.61,2014,7,5.992
Gangtok,27.33,88.61,2014,8,5.961
Gangtok,27.33,88.61,2014,9,4.608
Gangtok,27.33,88.61,2014,10,0.272
Gangtok,27.33,88.61,2014,11,0.0
Gangtok,27.33,88.61,2014,12,0.127
Gangtok,27.33,88.61,2015,1,0.242
Gangtok,27.33,88.61,2015,2,0.294
