event_id,lat,lon,year,month,rainfall,rainfall_unit,rainfall_city,elevation,slope,terrain_distance_km,event_observed,sample_type
,27.044763,89.229439,2015,8,8.47,mm/day monthly mean,Gangtok,465.0,5.853,25.295,0,background_no_record
,24.599827,90.383281,2016,4,7.632,mm/day monthly mean,Agartala,18.0,0.022,41.256,0,background_no_record
,28.360577,92.127994,2009,8,16.999,mm/day monthly mean,Itanagar,4991.0,6.093,23.482,0,background_no_record
,26.847224,92.210962,2009,8,11.344,mm/day monthly mean,Guwahati,1155.0,2.829,23.577,0,background_no_record
,22.175555,91.658074,2011,7,7.563,mm/day monthly mean,Agartala,29.0,1.567,40.277,0,background_no_record
7264.0,25.4538,93.9827,2015,7,11.474,mm/day monthly mean,Kohima,1751.0,2.391,28.43,1,catalogued_landslide
3986.0,27.0605,88.255,2011,9,5.634,mm/day monthly mean,Gangtok,1651.0,4.124,28.341,1,catalogued_landslide
6284.0,26.1324,91.8342,2014,9,13.389,mm/day monthly mean,Guwahati,51.0,1.609,27.235,1,catalogued_landslide
2281.0,25.615603,94.116035,2010,8,4.905,mm/day monthly mean,Kohima,1751.0,2.391,15.592,1,catalogued_landslide
7728.0,26.1028,91.8806,2015,8,12.859,mm/day monthly mean,Guwahati,51.0,1.609,27.629,1,catalogued_landslide
,28.135429,95.468171,2008,10,3.06,mm/day monthly mean,Itanagar,660.0,5.203,46.188,0,background_no_record
7778.0,23.8447,93.0514,2015,8,13.468,mm/day monthly mean,Aizawl,580.0,1.042,5.351,1,catalogued_landslide
,29.457614,94.245975,2015,8,16.256,mm/day monthly mean,Itanagar,4230.0,5.203,76.927,0,background_no_record
7139.0,26.8826,88.2806,2015,7,5.286,mm/day monthly mean,Gangtok,1651.0,4.124,28.674,1,catalogued_landslide
5427.0,25.3833,94.1884,2013,8,8.951,mm/day monthly mean,Kohima,1000.0,1.887,37.623,1,catalogued_landslide
,23.071477,90.603237,2007,9,7.518,mm/day monthly mean,Agartala,10.0,0.233,44.499,0,background_no_record
,27.408643,90.671532,2011,8,14.334,mm/day monthly mean,Guwahati,2760.0,5.34,36.719,0,background_no_record
4382.0,25.1175,92.8573,2012,6,25.167,mm/day monthly mean,Shillong,1036.0,1.488,14.668,1,catalogued_landslide
4860.0,26.1016,91.6906,2013,5,15.906,mm/day monthly mean,Guwahati,51.0,1.609,39.76,1,catalogued_landslide
6112.0,26.1964,91.7652,2014,6,12.959,mm/day monthly mean,Guwahati,51.0,1.609,27.552,1,catalogued_landslide
,28.316124,92.547915,2013,8,12.931,mm/day monthly mean,Itanagar,3706.0,4.22,46.726,0,background_no_record
4378.0,28.8254,96.1517,2012,6,16.413,mm/day monthly mean,Itanagar,2741.0,3.033,15.047,1,catalogued_landslide
4892.0,27.8776,94.25,2013,6,10.272,mm/day monthly mean,Itanagar,1441.0,4.276,41.806,1,catalogued_landslide
7033.0,27.0161,88.2478,2015,6,5.97,mm/day monthly mean,Gangtok,1651.0,4.124,25.796,1,catalogued_landslide
,24.394501,88.376499,2015,8,11.574,mm/day monthly mean,Agartala,29.0,0.025,39.102,0,background_no_record
,26.571801,88.558974,2015,8,8.47,mm/day monthly mean,Gangtok,60.0,2.319,51.66,0,background_no_record
220.0,25.1333,93.9667,2007,8,3.464,mm/day monthly mean,Imphal,1000.0,1.887,5.776,1,catalogued_landslide
,24.863054,97.092093,2010,5,5.802,mm/day monthly mean,Kohima,191.0,2.199,26.993,0,background_no_record
7336.0,25.2193,90.5549,2015,8,17.685,mm/day monthly mean,Shillong,7.0,1.28,47.016,1,catalogued_landslide
,25.700706,89.137513,2015,8,8.47,mm/day monthly mean,Gangtok,38.0,0.032,13.808,0,background_no_record
,22.734316,94.33049,2010,6,18.226,mm/day monthly mean,Aizawl,291.0,1.185,36.291,0,background_no_record
7390.0,24.4265,94.1913,2015,8,8.21,mm/day monthly mean,Imphal,788.0,0.874,20.042,1,catalogued_landslide
2214.0,27.0375,88.2627,2010,8,8.703,mm/day monthly mean,Gangtok,1651.0,4.124,27.988,1,catalogued_landslide
2182.0,24.9356,93.8443,2010,7,9.76,mm/day monthly mean,Imphal,1000.0,1.887,23.34,1,catalogued_landslide
,23.468533,88.155304,2015,8,11.574,mm/day monthly mean,Agartala,23.0,0.028,30.33,0,background_no_record
5123.0,25.7131,94.0885,2013,7,10.405,mm/day monthly mean,Kohima,1751.0,2.391,8.878,1,catalogued_landslide
,28.005275,90.683991,2007,8,4.986,mm/day monthly mean,Gangtok,3707.0,3.96,36.702,0,background_no_record
1770.0,26.1965,91.763,2010,4,12.283,mm/day monthly mean,Guwahati,51.0,1.609,27.732,1,catalogued_landslide
2421.0,23.754067,92.741285,2010,9,6.911,mm/day monthly mean,Aizawl,580.0,1.042,28.613,1,catalogued_landslide
3633.0,26.3186,94.5121,2011,6,8.031,mm/day monthly mean,Kohima,2265.0,3.183,48.636,1,catalogued_landslide
2205.0,23.7365,92.7146,2010,8,9.232,mm/day monthly mean,Aizawl,580.0,1.042,31.887,1,catalogued_landslide
,24.997215,95.826782,2010,6,10.485,mm/day monthly mean,Kohima,243.0,2.99,20.329,0,background_no_record
,27.691648,91.888784,2009,7,13.312,mm/day monthly mean,Guwahati,3096.0,4.235,17.931,0,background_no_record
1061.0,27.478,88.527,2009,7,6.755,mm/day monthly mean,Gangtok,3787.0,4.841,47.614,1,catalogued_landslide
1088.0,26.886764,88.280447,2009,8,7.782,mm/day monthly mean,Gangtok,1651.0,4.124,28.55,1,catalogued_landslide
,23.408423,95.994088,2011,7,9.452,mm/day monthly mean,Imphal,85.0,1.07,19.182,0,background_no_record
,22.253419,97.256224,2009,7,6.398,mm/day monthly mean,Imphal,615.0,0.756,38.608,0,background_no_record
,22.172923,89.936675,2012,6,11.531,mm/day monthly mean,Agartala,9.0,0.013,20.305,0,background_no_record
9618.0,26.9343,88.4486,2016,10,2.604,mm/day monthly mean,Gangtok,1651.0,4.124,44.485,1,catalogued_landslide
,25.320047,95.114326,2011,8,9.106,mm/day monthly mean,Kohima,188.0,3.071,27.946,0,background_no_record
,21.652273,89.154878,2010,7,5.509,mm/day monthly mean,Agartala,6.0,0.004,41.84,0,background_no_record
,23.361126,92.807696,2007,9,9.344,mm/day monthly mean,Aizawl,959.0,1.325,24.069,0,background_no_record
2579.0,25.682,94.1076,2010,10,4.221,mm/day monthly mean,Kohima,1751.0,2.391,11.192,1,catalogued_landslide
1106.0,26.8992,88.1667,2009,8,7.782,mm/day monthly mean,Gangtok,1651.0,4.124,17.294,1,catalogued_landslide
,22.444047,97.118977,2011,6,8.932,mm/day monthly mean,Imphal,652.0,0.826,22.879,0,background_no_record
,26.650921,95.727616,2013,7,10.405,mm/day monthly mean,Kohima,1204.0,1.771,42.428,0,background_no_record
2343.0,25.4786,94.1327,2010,8,4.905,mm/day monthly mean,Kohima,1751.0,2.391,28.869,1,catalogued_landslide
,24.510876,97.366315,2007,9,5.586,mm/day monthly mean,Imphal,415.0,0.401,37.306,0,background_no_record
3525.0,25.0672,93.4093,2011,5,9.081,mm/day monthly mean,Imphal,1036.0,1.488,41.306,1,catalogued_landslide
1111.0,27.1344,88.4575,2009,8,7.782,mm/day monthly mean,Gangtok,1651.0,4.124,49.966,1,catalogued_landslide
,28.402117,87.512331,2016,7,13.366,mm/day monthly mean,Gangtok,4396.0,1.17,53.656,0,background_no_record
,25.168385,91.923141,2013,9,7.436,mm/day monthly mean,Shillong,15.0,1.488,11.572,0,background_no_record
,24.164753,91.81327,2010,8,8.742,mm/day monthly mean,Agartala,23.0,1.476,39.151,0,background_no_record
,27.00132,94.554064,2015,8,16.256,mm/day monthly mean,Itanagar,123.0,3.299,44.633,0,background_no_record
1093.0,26.882115,88.319532,2009,8,7.782,mm/day monthly mean,Gangtok,1651.0,4.124,32.445,1,catalogued_landslide
2568.0,24.7679,93.4108,2010,10,5.701,mm/day monthly mean,Imphal,249.0,1.524,52.912,1,catalogued_landslide
,26.347401,95.514818,2012,6,8.395,mm/day monthly mean,Kohima,289.0,3.104,48.403,0,background_no_record
8900.0,25.0118,94.3136,2016,7,9.359,mm/day monthly mean,Imphal,1000.0,1.887,32.795,1,catalogued_landslide
,26.693192,94.202033,2013,5,9.615,mm/day monthly mean,Itanagar,81.0,3.361,34.437,0,background_no_record
5429.0,27.3425,88.2426,2013,9,3.464,mm/day monthly mean,Gangtok,4481.0,5.853,34.346,1,catalogued_landslide
,26.324857,91.625716,2013,8,6.398,mm/day monthly mean,Guwahati,51.0,1.609,37.303,0,background_no_record
9051.0,26.097482,91.874434,2016,7,18.564,mm/day monthly mean,Guwahati,51.0,1.609,28.43,1,catalogued_landslide
,24.493472,91.758821,2015,9,6.639,mm/day monthly mean,Agartala,23.0,1.476,24.512,0,background_no_record
,21.838804,96.341457,2014,6,10.715,mm/day monthly mean,Imphal,96.0,0.81,39.522,0,background_no_record
